CompanyName,Year_Founded,HeadQuarter,Founders,Investor,Industry,Head Quarter,Industry In,AboutCompany,Amount in ($),Funding_Round_Series
Jai Kisan,2017,Mumbai,"Adriel Maniego, Arjun Ahluwalia","The Chatterjee Group, Prophetic Ventures",,Mumbai,FinTech,Jai Kisan is a fintech platform that provides sustainable financing for rural emerging markets,30000000.0,Series A
Plum,2019,Bangalore,"Abhishek Poddar, Saurabh Arora","Harsh Jain, Lalit Keshre",,Bangalore,HealthCare,High quality health insurance and health benefits,15000000.0,Series A
Klassroom,2016,Mumbai,Alka Javeri,ah! Ventures,,Mumbai,EdTech,Klassroom offers a one-of-a-kind LIVE interactive learning experience to students.,200000.0,Pre-series A
Convin,2019,Bangalore,"Ashish Santhalia, Atul Shree, Bharat Patidar, Durgesh Choudhary","9Unicorns Accelerator Fund, Sunder Nookala",,Bangalore,SaaS startup,Convin is a conversation intelligence platform that helps remote sales teams to understand conversations on a deeper levels.,300000.0,Pre-seed
Mensa Brands,2021,Bangalore,Ananth Narayanan,"Accel Partners, Falcon Edge Capital, Norwest Venture Partners",,Bangalore,Clothing,"Mensa scales brands leveraging its expertise in ecommerce, technology, marketing, category management & demand planning.",50000000.0,Series A
BharatPe,2018,New Delhi,"Ashneer Grover, Bhavik Koladiya, Shashvat Nakrani","Amplo, Insight Partners",,New Delhi,FinTech,"BharatPe is the definitive platform for financial services. We process payments via UPI and POS, and provide credit / loans to our merchants",6000000.0,Debt
RuleZero,2019,Bangalore,"Satish Mugulavalli, Srinivas Katta","Induslaw, Reddy Futures",,Bangalore,Tech Startup,Rulezero is a technology platform created by experienced startup executives to automate and manage the equity ownership of a startup.,1000000.0,Seed
Locobuzz,2011,Mumbai,Vishal Agrawal,Yuj Ventures,,Mumbai,Analytics,LocoBuzz is an analytics-based integrated marketing platform.,4000000.0,Series A
We Founder Circle,2020,Mumbai,Neeraj Tyagi,Geekster,,Mumbai,FinTech,"A global platform of founders for founders offering investment, network and business opportunities.",2000000.0,Pre-seed
Haqdarshak,2015,Jaipur,"Aniket Doegar, Asha Krishnan, PR Ganapathy","Manish Subramaniam, Upaya Social Ventures",,Jaipur,Finance,Haqdarshak is a tech platform that connects citizens with their eligible welfare schemes.,800000.0,Pre-series A
Myelin Foundry,2019,Bangalore,"Gopichand Katragadda, Ganesh Suryanarayanan, Aditi Olemann",Beyond Next Ventures,,Bangalore,AI startup,"Myelin Foundry is a deep tech product start-up transforming human experiences and industry outcomes by building Artificial Intelligence algorithms on video, voice, and sensor data, for consumer edge devices",1000000.0,Pre-series A
SuperOps.ai,2020,Chennai,"Arvind Parthiban, Jayakumar Karumbasalam","Ramakant Sharma, Elevation Capital",,Chennai,AI startup,SuperOps.ai is an early stage startup in the MSP space.,3000000.0,Seed
Teachmint,2020,Bangalore,"Anshuman Kumar, Divyansh Bordia, Mihir Gupta, Payoj Jain","Lightspeed India Partners, CM Ventures",,Bangalore,EdTech,Teachmint is an online learning platform that focuses on tutor-student connectivity.,16500000.0,Series A
Rapido,2015,Bangalore,"Aravind Sanka, Pavan Guntupalli, Rishikesh SR","Skycatcher, Nexus Venture Partners",,Bangalore,Transportation,Rapido is a bike taxi service that encourages people to offer bike rides to other people.,43000000.0,Series C
ElasticRun,2015,Pune,"Sandeep Deshmukh, Saurabh Nigam, Shitiz Bansal","Avataar Venture Partners, Kalaari Capital",,Pune,E-commerce,ElasticRun develops an online system that improves the reception of orders from customers and the dispatch of delivery drivers.,75000000.0,Series D
Avail Finance,2017,Bangalore,"Ankush Aggarwal, Tushar Mehndiratta","Alteria Capital, Matrix Partners India",,Bangalore,FinTech,Avail is a mobile-first platform aiming to financially include the urban mass of India.,3000000.0,Debt
Nivesh,2016,Noida,"Anurag Garg, Sridhar Srinivasan","Raghav Kapur, Indian Angel Network",,Noida,FinTech,Nivesh.com is a mass market mutual funds investment platform.,1600000.0,Pre-series A
Arthya Wealth and Investments,2020,Mumbai,Gaurav Arora,"Rishi Kumar Bagla, Krishen Lal Khanna",,Mumbai,FinTech,"A comprehensive, high quality, open-architecture based Wealth Management and Investment Advisory platform, to cater to investors across the board: Individuals, Businesses/Corporate Treasuries, Family Offices, Trusts and more.",1000000.0,Pre-series A
Fi,2019,Bangalore,Sumit Gwalani,"Capital Group, Falcon Edge",,Bangalore,Financial Services,Fi is a neo bank.,50000000.0,Series B
Kiko Live,2020,Gurugram,"Alok Chawla, Shivam","Dinesh Agarwal, Amarjit Batra",,Gurugram,Commerce,Video-based social commerce startup,1000000.0,Pre-series A
The Hosteller,2015,Mumbai,Pranav Dangi,"SUNiCON Ventures, Shubhkam Ventures, Jito Angel network, FAAD Network",,Mumbai,Hospitality,"Pit-stop for global as well as local travellers to relax, rejuvenate and experience India’s rich heritage while not worrying about a clean, safe and smart place to stay.",1000000.0,Pre-series A
Ruptok Fintech,2020,New Delhi,Ankur Gupta,Manuvel Malabar Jewellers,,New Delhi,Financial Services,"Ruptok fintech Pvt. Ltd. is an online gold loan service provider , with attractive interests rate .",2000000.0,Pre-series A
Dogsee Chew,2015,Bangalore,"Bhupendra Khanal, Sneh Sharma",Sixth Sense Ventures,,Bangalore,Food & Beverages,100% Natural Dog Treats.,7000000.0,Pre-series A
Advantage Club,2014,Gurugram,Sourabh Deorah,"Y Combinator, Jetty Ventures, Earlsfield Capital, SMC Advisors, Kunal Shah",,Gurugram,HR Tech,Advantage Club is India's largest employee engagement platform.,3300000.0,Pre-series A
Cora Health,2020,Bangalore,"Snigdha Kumar, Shrijit Venkatesh",Indian Angel Network,,Bangalore,"Health, Wellness & Fitness",Social commerce marketplace for everyday health and wellness.,600000.0,Seed
Battery Smart,2019,New Delhi,"Pulkit Khurana, Siddharth Sikka","Blume Ventures, Orios Ventures",,New Delhi,Renewables & Environment,Battery Smart is building India’s largest network of battery swapping stations providing Li-ion batteries,7000000.0,Pre-series A
The Good Glamm Group,2021,Pune,"Darpan Sanghvi, Priyanka Gill, Naiyya saggi","Warburg Pincus﻿, Prosus Ventures",,Pune,Information Technology & Services,South Asia’s largest Content-to-Commerce scale-up investing $100 million in fast-growing beauty & personal care brands.,150000000.0,Series D
Mosaic Wellness,2019,Mumbai,Dhyanesh Shah,Sequoia,,Mumbai,"Health, Wellness & Fitness",A platform of digital first health clinics for men and women,24000000.0,Series A
CloudFiles,2020,Bangalore,"Vishesh Singhal, Ankit Gupta, Siddharth Garg",Titan Capital,,Bangalore,SaaS startup,"Supercharge files with enterprise-grade security, page-by-page analytics and powerful content automations.",300000.0,Pre-seed
Xpand,2021,New Delhi,Sanjay Kaul,"Akash Prakash, Madhu Jayakumar, Dipinder Sandhu, Shagun Khandelwal",,New Delhi,Retail,LMCE handholds brands and enables their reach across the UNSERVED & UNDER-SERVED pockets of the country in a SUSTAINABLE manner to drive MEASURABLE growth.,1500000.0,Pre-series A
Troo Good,2018,Hyderabad,Raju Bhupati,OAKS Asset Management,,Hyderabad,E-commerce,An FMCG company selling nutritious products at an affordable price points.,7000000.0,Series A
Prodo,2021,New Delhi,"Sameen Husain, Abhiroop Srivastava","Titan Capital, LetsVenture",,New Delhi,Business Supplies & Equipment,"Prodo is an e-commerce platform that provides manufacturing of made-to-order, readymade and white labeled consumables for medium and large enterprises.",300000.0,Pre-seed
