Industry In,deals,total_funding,average_funding,median_funding
Tourism,1,1000000.0,1000000.0,1000000.0
Vehicle repair startup,1,1000000.0,1000000.0,1000000.0
AR/VR startup,1,1000000.0,1000000.0,1000000.0
"Last Mile Transportation, Railroad, Transportation, Travel",1,960000.0,960000.0,960000.0
"Food and Beverage, Food Processing",2,912000.0,456000.0,456000.0
"Consumer Lending, FinTech",1,900000.0,900000.0,900000.0
Retail startup,2,900000.0,450000.0,450000.0
WL & RAC protection,1,900000.0,900000.0,900000.0
IoT,3,888000.0,296000.0,248000.0
Investment,1,887000.0,887000.0,887000.0
"Finance, Financial Services, Small and Medium Businesses",1,864000.0,864000.0,864000.0
"Automotive, Retail",1,840000.0,840000.0,840000.0
"Customer Service, Messaging, Mobile Apps, Personalization",1,840000.0,840000.0,840000.0
"Rental, Taxi Service, Travel",1,840000.0,840000.0,840000.0
Community,1,810000.0,810000.0,810000.0
AR startup,1,800000.0,800000.0,800000.0
"Audio, Mobile, Tourism, Travel",1,800000.0,800000.0,800000.0
Helathcare,2,800000.0,400000.0,400000.0
Social platform,1,800000.0,800000.0,800000.0
"Credit, Financial Services, Lending, Marketplace",1,780000.0,780000.0,780000.0
Autonomous Vehicles,1,768000.0,768000.0,768000.0
"Online Portals, Property Management, Rental",1,750000.0,750000.0,750000.0
"Crowdfunding, Financial Services, Internet",1,720000.0,720000.0,720000.0
"Food Delivery, Online Portals, Restaurants",1,720000.0,720000.0,720000.0
Marketing company,1,700000.0,700000.0,700000.0
"B2B, Marketplace",1,700000.0,700000.0,700000.0
"Information Technology, Logistics, Supply Chain Management",1,650000.0,650000.0,650000.0
Networking,1,620000.0,620000.0,620000.0
"Dietary Supplements, Food and Beverage, Health Care, Organic Food, Snack Food",1,600000.0,600000.0,600000.0
"Consumer Lending, Finance, FinTech",1,600000.0,600000.0,600000.0
Mutual Funds,1,600000.0,600000.0,600000.0
"Business Development, Market Research, Outsourcing",1,600000.0,600000.0,600000.0
Biotechnology company,1,600000.0,600000.0,600000.0
"Children, Education, Parenting",1,600000.0,600000.0,600000.0
Translation & Localization,1,600000.0,600000.0,600000.0
Health Diagnostics,1,600000.0,600000.0,600000.0
Food Processing,1,600000.0,600000.0,600000.0
"Automotive, E-Commerce, Mobile",1,600000.0,600000.0,600000.0
Market Research,1,600000.0,600000.0,600000.0
Textiles,1,570000.0,570000.0,570000.0
"E-Learning, Education",2,550000.0,275000.0,275000.0
"Artificial Intelligence, Machine Learning, PaaS",1,550000.0,550000.0,550000.0
Sports,1,540000.0,540000.0,540000.0
"Communities, Leisure, Mobile Apps, Software",1,540000.0,540000.0,540000.0
"Advertising, Human Resources, Marketing",1,528000.0,528000.0,528000.0
Preschool Daycare,1,507000.0,507000.0,507000.0
Co-working,1,500000.0,500000.0,500000.0
"Collaboration, Communities, Coworking, Sharing Economy",1,500000.0,500000.0,500000.0
"Food and Beverage, Snack Food",1,500000.0,500000.0,500000.0
Mobile,1,500000.0,500000.0,500000.0
"Internet, Social News, Sports",1,500000.0,500000.0,500000.0
"Health Care, Medical, Pharmaceutical",1,500000.0,500000.0,500000.0
Agri tech,1,500000.0,500000.0,500000.0
Electronics,1,500000.0,500000.0,500000.0
Aviation & Aerospace,1,500000.0,500000.0,500000.0
Training,1,500000.0,500000.0,500000.0
"Cloud Computing, Computer, SaaS, Software",1,500000.0,500000.0,500000.0
Innovation management,1,500000.0,500000.0,500000.0
"Business Intelligence, Customer Service, Market Research, SaaS",1,500000.0,500000.0,500000.0
"B2B, Farming, Marketplace",1,500000.0,500000.0,500000.0
"Finance, Impact Investing, Mobile Apps",1,500000.0,500000.0,500000.0
"Education, Gaming, Training",1,500000.0,500000.0,500000.0
"Clean Energy, CleanTech, Laundry and Dry-cleaning",1,480000.0,480000.0,480000.0
"eSports, Gaming, Video Games",1,480000.0,480000.0,480000.0
"Commercial, E-Learning, Education",1,480000.0,480000.0,480000.0
"Agriculture, Farming",1,480000.0,480000.0,480000.0
"Financial Services, Lending, Peer to Peer",1,480000.0,480000.0,480000.0
"Media and Entertainment, News, Outdoors",1,480000.0,480000.0,480000.0
Fashion Tech,1,467000.0,467000.0,467000.0
Hauz Khas,1,461000.0,461000.0,461000.0
"Food and Beverage, Food Delivery",1,432000.0,432000.0,432000.0
"E-Learning, EdTech, Education, Image Recognition, Machine Learning, STEM Education",1,420000.0,420000.0,420000.0
Food and Beverage,1,420000.0,420000.0,420000.0
"Digital Media, News, Publishing",1,418800.0,418800.0,418800.0
Health Care,1,408000.0,408000.0,408000.0
Higher Education,1,400000.0,400000.0,400000.0
Dairy,1,400000.0,400000.0,400000.0
Food & Nutrition,1,400000.0,400000.0,400000.0
Sports startup,1,400000.0,400000.0,400000.0
"Fashion, Lifestyle, Retail",1,400000.0,400000.0,400000.0
"Delivery Service, Logistics, Service Industry",1,396000.0,396000.0,396000.0
"Automotive, Electric Vehicle, Energy",1,364846.0,364846.0,364846.0
"Finance, Financial Services, Marketing",1,360000.0,360000.0,360000.0
"Apps, Beauty, Consumer, Retail",1,360000.0,360000.0,360000.0
Nanotechnology,1,360000.0,360000.0,360000.0
Real estate,1,350000.0,350000.0,350000.0
Wellness,1,316800.0,316800.0,316800.0
Content Marktplace,1,306900.0,306900.0,306900.0
Reading Apps,1,300000.0,300000.0,300000.0
"Apps, Health Care, Internet, Mobile Apps, Personal Health",1,300000.0,300000.0,300000.0
Merchandise,1,300000.0,300000.0,300000.0
"Health Care, Hospital, Supply Chain Management",1,300000.0,300000.0,300000.0
B2B service,1,300000.0,300000.0,300000.0
Trading Platform,1,300000.0,300000.0,300000.0
Business Supplies & Equipment,1,300000.0,300000.0,300000.0
Healtcare,1,300000.0,300000.0,300000.0
"Analytics, Computer Vision, Enterprise Software, Machine Learning, Natural Language Processing, Speech Recognition",1,300000.0,300000.0,300000.0
"Brand Marketing, Event Promotion, Marketing, Sponsorship, Ticketing",1,250000.0,250000.0,250000.0
"Battery, Electric Vehicle, Energy, Renewable Energy, Transportation",1,250000.0,250000.0,250000.0
TaaS startup,1,250000.0,250000.0,250000.0
"Education, Financial Services, FinTech",1,250000.0,250000.0,250000.0
"Computer, Digital Marketing, Facilities Support Services, Graphic Design, Internet, Mobile Apps, Social Media Marketing, Web Development",1,250000.0,250000.0,250000.0
"Broadcasting, Media and Entertainment, Music, Music Streaming, Video, Video Streaming",1,240000.0,240000.0,240000.0
"Marketing, Social Media, Video",1,240000.0,240000.0,240000.0
"Food and Beverage, Tea",1,240000.0,240000.0,240000.0
"Internet of Things, Telecommunications",1,240000.0,240000.0,240000.0
"Banking, E-Learning, Trading Platform",1,240000.0,240000.0,240000.0
"Cloud Computing, Enterprise Software, Network Hardware, Network Security, SaaS",1,240000.0,240000.0,240000.0
"Food and Beverage, Food Processing, Organic Food, Snack Food",1,240000.0,240000.0,240000.0
"Analytics, Audio, Digital Media, Innovation Management, Internet Radio, Media and Entertainment",1,230400.0,230400.0,230400.0
"Dental, Elder Care, Health Care, Home Health Care, Personal Health",1,200000.0,200000.0,200000.0
Fertility tech,1,200000.0,200000.0,200000.0
Cannabis startup,1,200000.0,200000.0,200000.0
Marketing,1,200000.0,200000.0,200000.0
Mobile Payments,1,200000.0,200000.0,200000.0
"Environmental Consulting, Renewable Energy",1,199200.0,199200.0,199200.0
"E-Learning, EdTech, Education",1,192000.0,192000.0,192000.0
"Internet, Leisure, Marketplace",1,192000.0,192000.0,192000.0
"Consumer Electronics, E-Commerce, E-Commerce Platforms, Electronics, Shipping, Shopping",1,180000.0,180000.0,180000.0
"Health Care, Medical",1,180000.0,180000.0,180000.0
"Big Data, EdTech, Machine Learning",1,180000.0,180000.0,180000.0
"Health Care, Medical Device, Mobile Apps",1,175000.0,175000.0,175000.0
"Food and Beverage, Snack Food, Tea",1,150000.0,150000.0,150000.0
E-marketplace,1,150000.0,150000.0,150000.0
"EdTech, Education, Enterprise Software, Peer to Peer",1,150000.0,150000.0,150000.0
"Finance, Internet, Travel",1,150000.0,150000.0,150000.0
Wealth Management,1,150000.0,150000.0,150000.0
"Industrial, Industrial Automation",1,144000.0,144000.0,144000.0
"Health Care, Information Technology",1,143145.0,143145.0,143145.0
HR tech,1,140500.0,140500.0,140500.0
Job discovery platform,1,140000.0,140000.0,140000.0
"Information Services, Information Technology",1,125000.0,125000.0,125000.0
"Marketplace, Real Estate, Rental Property",1,120000.0,120000.0,120000.0
"Advertising, Internet, Marketing",1,120000.0,120000.0,120000.0
"E-Learning, Internet",1,120000.0,120000.0,120000.0
"Finance, Impact Investing, Internet",1,120000.0,120000.0,120000.0
"Agriculture, AgTech, Artificial Intelligence, Internet of Things, Machine Learning",1,120000.0,120000.0,120000.0
Dating app,1,110000.0,110000.0,110000.0
"Apps, Health Care, Pharmaceutical",1,105000.0,105000.0,105000.0
E-Sports,1,100000.0,100000.0,100000.0
FoodTech,1,100000.0,100000.0,100000.0
Legal tech,1,100000.0,100000.0,100000.0
"Government, Information Technology, Software",1,100000.0,100000.0,100000.0
Interior & decor,1,100000.0,100000.0,100000.0
Artificial Intelligence,1,100000.0,100000.0,100000.0
"Credit, Financial Services, FinTech, Personal Finance",1,100000.0,100000.0,100000.0
Oil & Energy,1,100000.0,100000.0,100000.0
Milk startup,1,100000.0,100000.0,100000.0
"Credit Cards, Payments, Property Insurance, Property Management, Rental Property",1,100000.0,100000.0,100000.0
"Health Care, Hospital, Medical, Robotics",1,70000.0,70000.0,70000.0
"Beauty, Cosmetics, Health Care, Service Industry",1,60000.0,60000.0,60000.0
"Digital Media, Incubators, Social Entrepreneurship",1,50000.0,50000.0,50000.0
"Dating, Private Social Networking",1,40000.0,40000.0,40000.0
"Artificial Intelligence, Drones, Navigation, Packaging Services, Robotics",1,20000.0,20000.0,20000.0
"Internet, Social Entrepreneurship",1,16800.0,16800.0,16800.0
"Digital Media, Internet, Media and Entertainment, Online Portals, Social Media",1,15000.0,15000.0,15000.0
"Mobile, Software, Travel",1,14400.0,14400.0,14400.0
"Artificial Intelligence, Information Technology",1,14400.0,14400.0,14400.0
"B2B, Biometrics, Cyber Security, Fraud Detection, SaaS, Security",1,10000.0,10000.0,10000.0
"Food and Beverage, Food Delivery, Internet",1,7500.0,7500.0,7500.0
"Internet of Things, Waste Management",1,6000.0,6000.0,6000.0
"Education, Information Technology, Internet, Mobile, Software",1,1200.0,1200.0,1200.0
"Digital Marketing, SEM, SEO, Web Development",1,1200.0,1200.0,1200.0
"Automotive, Electric Vehicle, Energy Storage",1,720.0,720.0,720.0
